////////////////////////////////////////////////////////////////////////////////																																															
// Text Ver. 0.0.1.9	0.0.2.5																																														
// Version - T서버																																															
// Version - M서버																																															
// 최종 작업자	사재일																																														
// 최종 작업일 - 	2016-07-13 14:31																																														
// 내용	마스터리 3차 등록																																														
////////////////////////////////////////////////////////////////////////////////																																															
// Link Index 254 까지 사용 가능																																															
																																															
//link Index	name	option 2-1	Value	option 2-2	Value	option 3-1	Value	option 3-2	Value	option 4-1	Value	option 4-2	Value	option 5-1	Value	option 5-2	Value	option 6-1	Value	option 6-2	Value	option 7-1	Value	option 7-2	Value	option 8	Value	option 9	Value	Full 1	Value	Full 2	Value	Full 3	Value	Full 4	Value	Full 5	Value	흑마법사	흑기사	요정	마검사	다크로드	소환술사	레이지파이터	그로우랜서
100	"견습마검사의"	8	7	-1	-1	19	5	-1	-1	20	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	30	27	30	25	20	-1	-1	-1	-1	0	0	0	0	0	0	0	0
101	"마검사의"	8	10	-1	-1	19	7	-1	-1	20	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	50	27	50	25	40	21	3	-1	-1	0	0	0	0	0	0	0	0
// 다크로드																																															
102	"하급로드의"	19	5	-1	-1	8	7	-1	-1	20	1	-1	-1	26	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	20	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
103	"다크로드의"	19	7	-1	-1	8	10	-1	-1	20	3	-1	-1	26	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	40	21	3	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
// 소환술사																																															
104	"견습술사의"	7	7	-1	-1	19	7	-1	-1	20	1	-1	-1	27	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	20	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
105	"소환술사의"	7	10	-1	-1	19	10	-1	-1	20	3	-1	-1	27	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	40	21	3	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
// 레이지파이터																																															
106	"견습파이터의"	10	20	-1	-1	8	7	-1	-1	20	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	30	25	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
107	"파이터의"	10	40	-1	-1	8	10	-1	-1	20	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	50	25	40	21	3	-1	-1	-1	-1	0	0	0	0	0	0	0	0
// 그로우랜서																																															
108	"견습랜서의"	22	7	-1	-1	8	7	-1	-1	20	1	-1	-1	26	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	20	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
109	"랜서의"	22	10	-1	-1	8	10	-1	-1	20	3	-1	-1	26	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	40	21	3	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0
//link Index	name	option 2-1	Value	option 2-2	Value	option 3-1	Value	option 3-2	Value	option 4-1	Value	option 4-2	Value	option 5-1	Value	option 5-2	Value	option 6-1	Value	option 6-2	Value	option 7-1	Value	option 7-2	Value	option 8	Value	option 9	Value	Full 1	Value	Full 2	Value	Full 3	Value	Full 4	Value	Full 5	Value	흑마법사	흑기사	요정	마검사	다크로드	소환술사	레이지파이터	그로우랜서
// 마스터리 2차 세트 장기 구성 정보 등록 (2015-09-07 사재일)																																															
// 블레이드마스터																																															
110	"용맹의"	19	30	0	70	20	15	26	75	16	35	18	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	7	24	15	25	30	15	18	17	18	0	0	0	0	0	0	0	0
// 그랜드마스터																																															
111	"지혜의"	19	40	2	70	20	15	27	75	16	35	18	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	7	24	15	25	40	15	18	17	18	0	0	0	0	0	0	0	0
// 하이엘프																																															
112	"쾌속의"	19	30	1	70	20	15	26	75	16	35	18	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	7	24	15	25	30	15	18	17	18	0	0	0	0	0	0	0	0
// 블러디서머너																																															
113	"혼돈의"	19	40	2	70	20	15	27	75	16	35	18	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	7	24	15	25	40	15	18	17	18	0	0	0	0	0	0	0	0
// 듀얼마스터																																															
114	"투지의"	19	30	0	70	20	15	26	75	16	35	18	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	7	24	15	25	30	15	18	17	18	0	0	0	0	0	0	0	0
// 로드엠퍼러																																															
115	"정의의"	19	30	0	70	20	15	26	75	16	35	18	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	7	24	15	25	30	15	18	17	18	0	0	0	0	0	0	0	0
// 피스트마스터																																															
116	"의지의"	19	30	0	70	20	15	26	75	16	35	18	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	7	24	15	25	25	15	18	17	18	0	0	0	0	0	0	0	0
// 미라쥬랜서																																															
117	"응징의"	19	30	0	70	20	15	26	75	16	35	18	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	7	24	15	25	25	15	18	17	18	0	0	0	0	0	0	0	0
//link Index	name	option 2-1	Value	option 2-2	Value	option 3-1	Value	option 3-2	Value	option 4-1	Value	option 4-2	Value	option 5-1	Value	option 5-2	Value	option 6-1	Value	option 6-2	Value	option 7-1	Value	option 7-2	Value	option 8	Value	option 9	Value	Full 1	Value	Full 2	Value	Full 3	Value	Full 4	Value	Full 5	Value	흑마법사	흑기사	요정	마검사	다크로드	소환술사	레이지파이터	그로우랜서
// 마스터리 3차 세트 장기 구성 정보 등록 (2016-07-13 사재일)																																															
// 블레이드마스터																																															
118	"보호의"	19	35	0	90	20	18	26	100	16	40	18	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	9	24	20	25	40	15	20	17	20	0	0	0	0	0	0	0	0
// 그랜드마스터																																															
119	"평온의"	19	50	2	90	20	18	27	100	16	40	18	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	9	24	20	25	60	15	20	17	20	0	0	0	0	0	0	0	0
// 하이엘프																																															
120	"가호의"	19	35	1	90	20	18	26	100	16	40	18	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	9	24	20	25	40	15	20	17	20	0	0	0	0	0	0	0	0
// 블러디서머너																																															
121	"수호의"	19	50	2	90	20	18	27	100	16	40	18	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	9	24	20	25	60	15	20	17	20	0	0	0	0	0	0	0	0
// 듀얼마스터																																															
122	"견고한"	19	35	0	90	20	18	26	100	16	40	18	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	9	24	20	25	40	15	20	17	20	0	0	0	0	0	0	0	0
// 로드엠퍼러																																															
123	"단호한"	19	35	0	90	20	18	26	100	16	40	18	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	9	24	20	25	40	15	20	17	20	0	0	0	0	0	0	0	0
// 피스트마스터																																															
124	"근성의"	19	35	0	90	20	18	26	100	16	40	18	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	9	24	20	25	35	15	20	17	20	0	0	0	0	0	0	0	0
// 미라쥬랜서																																															
125	"신성한"	19	35	0	90	20	18	26	100	16	40	18	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	9	24	20	25	35	15	20	17	20	0	0	0	0	0	0	0	0
// Season12 P.1 마스터리 아이템 추가 - 법사형 마검사 / 에너지 요정 (2016-08-09 사재일)																																															
// 1차 마스터리 - 에너지 요정 (블러드엔젤)																																															
126	"구원의"	2	50	29	7	28	7	22	7	30	10	10	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	70	24	10	25	40	-1	-1	-1	-1	0	0	0	0	0	0	0	0
// 2차 마스터리 - 에너지 요정 (다크엔젤)																																															
127	"소생의"	2	70	29	16	28	16	22	14	30	20	10	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	150	24	15	25	65	-1	-1	-1	-1	0	0	0	0	0	0	0	0
// 3차 마스터리 - 에너지 요정 (홀리엔젤)																																															
128	"치유의"	2	100	29	35	28	35	22	25	30	35	10	150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	300	24	20	25	100	-1	-1	-1	-1	0	0	0	0	0	0	0	0
// 1차 마스터리 - 법사형마검사 (블러드엔젤)																																															
129	"마력의"	19	25	2	50	20	10	27	50	15	15	17	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	5	24	10	25	20	16	30	18	30	0	0	0	0	0	0	0	0
// 2차 마스터리 - 법사형마검사 (다크엔젤)																																															
130	"타락의"	19	40	2	70	20	15	27	75	15	18	17	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	7	24	15	25	40	16	35	18	50	0	0	0	0	0	0	0	0
// 3차 마스터리 - 법사형마검사 (홀리 엔젤)																																															
131	"결단의"	19	50	2	90	20	18	27	100	15	20	17	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	9	24	20	25	60	16	40	18	70	0	0	0	0	0	0	0	0
end																																															
