// 서버, 클라이언트 사용 스크립트																				
																				
//차원의 미궁 지역으로 사용할 기존 맵 설정																				
0																				
//인덱스	맵 번호	시작X	시작Y	종료X	종료Y															
5	4	28	2	0	1	1	0	0	//정상											
5	5	20	2	0	1	1	0	1	//정상											
5	6	1	2	0	1	1	1	0	//정상											
6	0	31	3	2	0	0	0	2	//정상											
6	1	32	2	0	1	0	1	1	//정상											
6	2	26	2	0	1	0	1	0	//정상											
6	3	37	2	0	1	0	0	1	//정상											
6	4	14	2	0	1	0	1	0	//정상											
6	5	21	3	6	2	0	0	2	//정상											
6	6	33	1	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
15	3	7	7																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	8	2	0	0	1	0	1	//정상											
0	1	1	2	0	0	1	1	1	//정상											
0	2	19	2	0	0	1	1	1	//정상											
0	3	35	3	7	0	2	2	2	//정상											
0	4	12	1	0	0	1	1	1	//정상											
0	5	6	3	4	0	2	2	2	//정상											
0	6	10	2	0	0	1	1	0	//정상											
1	0	34	3	0	2	2	0	0	//정상											
1	1	18	3	6	2	2	0	2	//정상											
1	2	17	2	0	1	0	1	1	//정상											
1	3	12	3	7	2	0	2	2	//정상											
1	4	20	3	5	2	0	2	0	//정상											
1	5	6	2	0	1	1	0	1	//정상											
1	6	29	2	0	1	1	1	0	//정상											
2	0	32	2	0	1	0	0	1	//정상											
2	1	21	2	0	1	0	1	1	//정상											
2	2	25	2	0	0	1	1	1	//정상											
2	3	35	3	1	0	2	2	2	//정상											
2	4	17	2	0	0	1	1	1	//정상											
2	5	8	3	7	2	2	2	2	//정상											
2	6	19	3	0	2	2	2	0	//정상											
3	0	12	4	0	0	0	0	1	//정상											
3	1	24	3	2	0	2	2	0	//정상											
3	2	28	3	1	2	0	0	0	//정상											
3	3	10	2	0	1	0	0	0	//정상											
3	4	17	3	1	2	0	0	0	//정상											
3	5	32	2	0	1	1	0	1	//정상											
3	6	18	2	0	1	1	1	0	//정상											
4	0	10	2	0	0	1	0	1	//정상											
4	1	8	2	0	1	0	1	0	//정상											
4	2	17	2	0	0	1	0	1	//정상											
4	3	18	3	1	0	2	2	2	//정상											
4	4	24	2	0	0	1	1	1	//정상											
4	5	34	2	0	1	1	1	1	//정상											
4	6	29	2	0	1	1	1	0	//정상											
5	0	33	3	0	2	2	0	2	//정상											
5	1	7	2	0	0	1	1	1	//정상											
5	2	3	2	0	1	1	1	0	//정상											
5	3	3	3	7	2	2	0	2	//정상											
5	4	27	2	0	1	1	1	1	//정상											
5	5	2	3	3	2	2	2	2	//정상											
5	6	0	2	0	1	1	1	0	//정상											
6	0	36	2	0	1	0	0	0	//정상											
6	1	5	3	3	2	0	0	2	//정상											
6	2	35	2	0	1	0	1	0	//정상											
6	3	1	2	0	1	0	0	0	//정상											
6	4	9	3	2	2	0	0	0	//정상											
6	5	23	2	0	1	0	0	1	//정상											
6	6	5	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
16	4	8	8																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	2	3	2	0	2	0	2	//정상											
0	1	28	3	1	0	0	2	2	//정상											
0	2	22	2	0	0	1	1	1	//정상											
0	3	37	2	0	0	1	1	0	//정상											
0	4	19	3	4	0	0	0	2	//정상											
0	5	35	2	0	0	0	1	1	//정상											
0	6	8	3	2	0	2	2	2	//정상											
0	7	22	1	0	0	1	1	0	//정상											
1	0	12	2	0	1	1	0	1	//정상											
1	1	12	2	0	0	0	1	1	//정상											
1	2	33	2	0	1	1	1	1	//정상											
1	3	21	2	0	1	1	1	1	//정상											
1	4	2	3	6	0	0	2	0	//정상											
1	5	27	3	4	0	2	0	2	//정상											
1	6	32	2	0	1	1	1	1	//정상											
1	7	25	3	0	2	0	2	0	//정상											
2	0	27	2	0	1	1	0	0	//정상											
2	1	36	4	0	0	1	0	0	//정상											
2	2	26	2	0	1	1	0	1	//정상											
2	3	24	2	0	1	0	1	0	//정상											
2	4	31	3	4	0	2	0	2	//정상											
2	5	1	3	4	2	2	2	2	//정상											
2	6	21	2	0	1	0	1	1	//정상											
2	7	11	2	0	0	1	1	0	//정상											
3	0	14	2	0	1	0	0	1	//정상											
3	1	30	2	0	1	0	1	0	//정상											
3	2	34	2	0	1	1	0	1	//정상											
3	3	22	2	0	0	1	1	1	//정상											
3	4	18	3	2	2	0	2	2	//정상											
3	5	7	3	5	2	2	2	2	//정상											
3	6	5	2	0	0	1	1	0	//정상											
3	7	33	2	0	1	1	0	0	//정상											
4	0	29	3	4	0	2	0	2	//정상											
4	1	34	3	4	0	0	2	2	//정상											
4	2	9	3	1	2	2	2	2	//정상											
4	3	13	3	0	2	2	2	2	//정상											
4	4	11	3	6	0	0	2	2	//정상											
4	5	11	2	0	1	1	1	0	//정상											
4	6	11	2	0	1	1	0	0	//정상											
4	7	15	2	0	1	1	0	0	//정상											
5	0	8	2	0	1	0	0	1	//정상											
5	1	27	2	0	0	1	1	1	//정상											
5	2	37	2	0	1	0	1	1	//정상											
5	3	29	2	0	1	0	1	1	//정상											
5	4	31	3	1	0	2	2	2	//정상											
5	5	8	2	0	1	1	1	0	//정상											
5	6	22	2	0	1	1	0	0	//정상											
5	7	28	2	0	1	1	0	0	//정상											
6	0	9	3	1	0	0	0	2	//정상											
6	1	20	2	0	1	1	1	1	//정상											
6	2	15	2	0	0	1	1	1	//정상											
6	3	27	2	0	0	1	1	1	//정상											
6	4	33	2	0	1	1	1	1	//정상											
6	5	24	3	0	2	2	2	2	//정상											
6	6	10	2	0	1	1	1	0	//정상											
6	7	21	2	0	1	1	0	0	//정상											
7	0	7	3	5	0	0	0	2	//정상											
7	1	9	3	6	2	0	2	2	//정상											
7	2	30	2	0	1	0	1	1	//정상											
7	3	16	3	5	2	0	2	2	//정상											
7	4	11	3	4	2	0	2	2	//정상											
7	5	30	3	7	2	0	2	2	//정상											
7	6	23	2	0	1	0	1	1	//정상											
7	7	12	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
17	4	8	8																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	37	3	7	0	2	0	2	//정상											
0	1	36	2	0	0	1	1	1	//정상											
0	2	12	3	2	0	2	2	2	//정상											
0	3	5	2	0	0	0	1	1	//정상											
0	4	5	3	7	0	0	2	2	//정상											
0	5	24	2	0	0	0	1	1	//정상											
0	6	15	2	0	0	0	1	1	//정상											
0	7	19	3	6	0	0	2	0	//정상											
1	0	18	3	1	2	2	0	2	//정상											
1	1	27	1	0	1	1	1	0	//정상											
1	2	34	3	6	2	2	0	2	//정상											
1	3	12	2	0	0	1	1	1	//정상											
1	4	23	2	0	0	1	1	1	//정상											
1	5	17	2	0	0	1	1	1	//정상											
1	6	34	2	0	0	1	1	1	//정상											
1	7	26	3	6	0	0	2	0	//정상											
2	0	7	2	0	1	0	0	0	//정상											
2	1	10	2	0	1	1	0	1	//정상											
2	2	23	2	0	1	1	1	1	//정상											
2	3	15	3	3	2	2	2	2	//정상											
2	4	12	3	4	2	0	2	2	//정상											
2	5	28	3	6	2	2	2	2	//정상											
2	6	6	2	0	1	1	1	1	//정상											
2	7	22	3	3	0	2	2	0	//정상											
3	0	2	2	0	0	1	0	1	//정상											
3	1	36	2	0	1	1	1	1	//정상											
3	2	11	2	0	1	1	1	0	//정상											
3	3	19	2	0	1	1	0	0	//정상											
3	4	30	3	2	0	0	0	2	//정상											
3	5	29	3	6	2	2	2	2	//정상											
3	6	32	2	0	1	1	1	1	//정상											
3	7	11	3	6	2	2	2	0	//정상											
4	0	0	2	0	1	1	0	1	//정상											
4	1	1	3	2	2	2	2	2	//정상											
4	2	35	2	0	1	1	1	1	//정상											
4	3	5	2	0	1	1	1	0	//정상											
4	4	16	3	3	0	2	0	2	//정상											
4	5	36	2	0	1	1	1	1	//정상											
4	6	23	3	5	2	2	2	2	//정상											
4	7	22	3	4	2	0	2	0	//정상											
5	0	34	2	0	1	1	0	1	//정상											
5	1	17	2	0	1	1	1	1	//정상											
5	2	14	3	0	2	2	2	2	//정상											
5	3	35	3	1	2	2	2	0	//정상											
5	4	31	2	0	1	1	0	1	//정상											
5	5	2	2	0	1	1	1	0	//정상											
5	6	2	2	0	1	1	0	1	//정상											
5	7	17	3	6	0	2	2	0	//정상											
6	0	31	3	3	2	2	0	2	//정상											
6	1	26	2	0	1	1	1	1	//정상											
6	2	26	3	6	2	2	2	2	//정상											
6	3	3	2	0	1	1	1	0	//정상											
6	4	34	2	0	1	1	0	1	//정상											
6	5	0	2	0	1	0	1	0	//정상											
6	6	26	4	0	1	0	0	0	//정상											
6	7	29	2	0	1	1	0	0	//정상											
7	0	13	2	0	1	0	0	1	//정상											
7	1	18	2	0	1	0	1	1	//정상											
7	2	19	2	0	1	0	1	1	//정상											
7	3	16	2	0	1	0	1	0	//정상											
7	4	23	2	0	1	0	0	1	//정상											
7	5	13	2	0	0	0	1	1	//정상											
7	6	9	2	0	0	0	1	1	//정상											
7	7	17	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
18	4	8	8																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	4	2	0	0	1	0	1	//정상											
0	1	7	1	0	0	1	1	1	//정상											
0	2	33	3	6	0	2	2	2	//정상											
0	3	29	2	0	0	1	1	1	//정상											
0	4	7	2	0	0	1	1	1	//정상											
0	5	32	3	2	0	0	2	0	//정상											
0	6	35	4	0	0	0	0	1	//정상											
0	7	26	2	0	0	1	1	0	//정상											
1	0	29	2	0	1	1	0	1	//정상											
1	1	30	3	7	2	2	2	2	//정상											
1	2	30	2	0	1	1	1	1	//정상											
1	3	34	3	0	2	0	2	0	//정상											
1	4	24	3	6	2	2	0	2	//정상											
1	5	0	3	3	0	0	2	0	//정상											
1	6	27	2	0	0	1	0	1	//정상											
1	7	26	2	0	1	1	1	0	//정상											
2	0	19	2	0	1	1	0	1	//정상											
2	1	4	2	0	1	0	1	1	//정상											
2	2	33	2	0	1	0	1	0	//정상											
2	3	17	2	0	0	1	0	1	//정상											
2	4	26	2	0	1	1	1	0	//정상											
2	5	17	2	0	0	1	0	1	//정상											
2	6	29	3	4	2	2	2	2	//정상											
2	7	9	3	5	2	2	2	0	//정상											
3	0	7	2	0	1	1	0	0	//정상											
3	1	36	3	3	0	2	0	2	//정상											
3	2	35	2	0	0	1	1	1	//정상											
3	3	31	2	0	1	1	1	1	//정상											
3	4	6	3	4	2	2	2	0	//정상											
3	5	21	2	0	1	1	0	0	//정상											
3	6	22	2	0	1	0	0	0	//정상											
3	7	37	2	0	1	1	0	0	//정상											
4	0	9	2	0	1	1	0	0	//정상											
4	1	13	3	4	2	2	0	2	//정상											
4	2	15	2	0	1	1	1	0	//정상											
4	3	19	2	0	1	0	0	0	//정상											
4	4	6	3	1	2	2	0	0	//정상											
4	5	17	2	0	1	1	0	1	//정상											
4	6	10	2	0	0	1	1	1	//정상											
4	7	12	3	7	2	0	2	0	//정상											
5	0	25	2	0	1	1	0	0	//정상											
5	1	20	2	0	1	1	0	1	//정상											
5	2	18	3	5	2	2	2	0	//정상											
5	3	11	3	1	0	2	0	0	//정상											
5	4	18	2	0	1	1	0	0	//정상											
5	5	2	3	6	2	2	0	0	//정상											
5	6	9	2	0	1	1	0	1	//정상											
5	7	31	3	3	0	0	2	0	//정상											
6	0	4	3	0	2	2	0	0	//정상											
6	1	32	2	0	1	1	0	1	//정상											
6	2	25	2	0	1	1	1	1	//정상											
6	3	25	2	0	1	1	1	1	//정상											
6	4	37	3	5	2	2	2	2	//정상											
6	5	16	2	0	1	1	1	1	//정상											
6	6	21	2	0	1	0	1	1	//정상											
6	7	30	2	0	0	1	1	0	//정상											
7	0	27	3	2	2	0	0	2	//정상											
7	1	6	3	5	2	0	2	0	//정상											
7	2	29	2	0	1	0	0	1	//정상											
7	3	14	2	0	1	0	1	1	//정상											
7	4	1	2	0	1	0	1	0	//정상											
7	5	15	3	5	2	0	0	2	//정상											
7	6	33	2	0	0	0	1	1	//정상											
7	7	35	3	4	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
19	5	9	9																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	3	2	0	0	1	0	1	//정상											
0	1	18	3	6	0	2	2	2	//정상											
0	2	15	2	0	0	1	1	1	//정상											
0	3	16	3	4	0	2	2	2	//정상											
0	4	34	3	6	0	2	2	0	//정상											
0	5	8	2	0	0	1	0	1	//정상											
0	6	5	2	0	0	1	1	0	//정상											
0	7	14	3	4	0	0	0	2	//정상											
0	8	6	2	0	0	1	1	0	//정상											
1	0	20	3	0	2	2	0	2	//정상											
1	1	37	3	4	2	2	2	2	//정상											
1	2	11	2	0	1	1	1	1	//정상											
1	3	30	3	3	2	0	2	2	//정상											
1	4	16	3	1	2	2	2	0	//정상											
1	5	37	2	0	1	1	0	0	//정상											
1	6	8	2	0	1	0	0	1	//정상											
1	7	24	4	0	0	0	1	0	//정상											
1	8	0	2	0	1	1	0	0	//정상											
2	0	32	2	0	1	1	0	1	//정상											
2	1	33	3	5	2	2	2	0	//정상											
2	2	11	3	4	2	2	0	2	//정상											
2	3	26	2	0	0	1	1	1	//정상											
2	4	5	3	0	2	2	2	0	//정상											
2	5	1	3	4	2	0	0	2	//정상											
2	6	12	2	0	0	0	1	1	//정상											
2	7	32	2	0	0	1	1	1	//정상											
2	8	5	3	2	2	2	2	0	//정상											
3	0	8	2	0	1	0	0	1	//정상											
3	1	1	3	5	2	2	2	0	//정상											
3	2	23	2	0	1	1	0	0	//정상											
3	3	8	2	0	1	0	0	1	//정상											
3	4	14	2	0	1	1	1	1	//정상											
3	5	11	3	7	0	2	2	0	//정상											
3	6	19	3	2	0	2	0	0	//정상											
3	7	8	2	0	1	1	0	1	//정상											
3	8	12	3	5	2	0	2	0	//정상											
4	0	12	3	6	0	2	0	2	//정상											
4	1	22	3	3	2	2	2	0	//정상											
4	2	6	2	0	1	1	0	1	//정상											
4	3	33	3	5	0	0	2	0	//정상											
4	4	11	2	0	1	0	0	1	//정상											
4	5	31	2	0	1	0	1	1	//정상											
4	6	26	2	0	1	0	1	1	//정상											
4	7	26	3	3	2	2	2	2	//정상											
4	8	12	2	0	0	0	1	0	//정상											
5	0	13	2	0	1	1	0	1	//정상											
5	1	37	2	0	1	1	1	0	//정상											
5	2	13	2	0	1	0	0	1	//정상											
5	3	1	2	0	0	0	1	1	//정상											
5	4	24	2	0	0	1	1	1	//정상											
5	5	10	3	4	0	2	2	0	//정상											
5	6	31	3	1	0	2	0	0	//정상											
5	7	12	2	0	1	1	0	1	//정상											
5	8	6	2	0	0	1	1	0	//정상											
6	0	37	2	0	1	1	0	1	//정상											
6	1	6	2	0	1	1	1	1	//정상											
6	2	34	3	3	0	2	2	2	//정상											
6	3	1	3	2	0	0	2	0	//정상											
6	4	12	2	0	1	0	0	1	//정상											
6	5	8	2	0	1	0	1	1	//정상											
6	6	34	2	0	1	0	1	1	//정상											
6	7	4	2	0	1	0	1	1	//정상											
6	8	29	2	0	1	1	1	0	//정상											
7	0	7	3	4	2	2	0	2	//정상											
7	1	12	3	4	2	2	2	2	//정상											
7	2	21	2	0	1	0	1	1	//정상											
7	3	20	2	0	0	1	1	0	//정상											
7	4	33	2	0	0	1	0	0	//정상											
7	5	7	3	7	0	2	0	0	//정상											
7	6	33	2	0	0	1	0	0	//정상											
7	7	1	3	2	0	2	0	2	//정상											
7	8	3	2	0	1	1	1	0	//정상											
8	0	8	1	0	1	0	0	1	//정상											
8	1	24	2	0	1	0	1	1	//정상											
8	2	14	3	1	0	0	2	2	//정상											
8	3	4	2	0	1	0	1	1	//정상											
8	4	21	2	0	1	0	1	1	//정상											
8	5	4	2	0	1	0	1	1	//정상											
8	6	11	2	0	1	0	1	1	//정상											
8	7	12	2	0	1	0	1	1	//정상											
8	8	37	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
20	5	9	9																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	2	2	0	0	1	0	1	//정상											
0	1	36	3	2	0	2	2	0	//정상											
0	2	12	3	4	0	0	0	2	//정상											
0	3	33	2	0	0	1	1	0	//정상											
0	4	23	3	5	0	2	0	0	//정상											
0	5	35	2	0	0	1	0	1	//정상											
0	6	8	2	0	0	1	1	0	//정상											
0	7	29	3	5	0	2	0	2	//정상											
0	8	33	2	0	0	1	1	0	//정상											
1	0	28	3	2	2	0	0	2	//정상											
1	1	6	3	1	2	0	2	2	//정상											
1	2	35	2	0	0	0	1	1	//정상											
1	3	15	2	0	1	0	1	1	//정상											
1	4	28	3	1	2	2	2	2	//정상											
1	5	17	3	0	2	2	2	2	//정상											
1	6	31	3	3	2	2	2	2	//정상											
1	7	6	1	0	1	1	1	1	//정상											
1	8	11	3	6	2	2	2	0	//정상											
2	0	11	2	0	0	1	0	1	//정상											
2	1	18	2	0	0	0	1	1	//정상											
2	2	0	3	0	0	0	2	2	//정상											
2	3	8	2	0	0	1	1	0	//정상											
2	4	23	3	2	2	0	0	0	//정상											
2	5	19	2	0	1	1	0	0	//정상											
2	6	27	3	2	2	0	0	2	//정상											
2	7	36	2	0	1	1	1	1	//정상											
2	8	18	2	0	1	1	1	0	//정상											
3	0	3	2	0	1	1	0	1	//정상											
3	1	12	2	0	0	1	1	0	//정상											
3	2	1	2	0	0	1	0	1	//정상											
3	3	9	2	0	1	1	1	0	//정상											
3	4	15	2	0	0	1	0	1	//정상											
3	5	31	3	7	2	2	2	2	//정상											
3	6	31	2	0	0	1	1	1	//정상											
3	7	4	2	0	1	1	1	1	//정상											
3	8	12	2	0	1	1	1	0	//정상											
4	0	35	3	2	2	2	0	2	//정상											
4	1	27	3	3	2	2	2	0	//정상											
4	2	12	2	0	1	0	0	1	//정상											
4	3	32	2	0	1	1	1	0	//정상											
4	4	3	3	7	2	0	0	0	//정상											
4	5	19	2	0	1	1	0	1	//정상											
4	6	12	3	1	2	2	2	2	//정상											
4	7	19	3	0	2	2	2	0	//정상											
4	8	19	3	7	2	0	0	0	//정상											
5	0	33	2	0	1	1	0	1	//정상											
5	1	4	2	0	1	1	1	0	//정상											
5	2	16	3	7	0	0	0	2	//정상											
5	3	32	2	0	1	1	1	1	//정상											
5	4	26	3	6	0	2	2	0	//정상											
5	5	15	3	2	2	0	0	2	//정상											
5	6	15	2	0	1	0	1	1	//정상											
5	7	11	2	0	1	1	1	1	//정상											
5	8	13	2	0	0	1	1	0	//정상											
6	0	23	2	0	1	1	0	0	//정상											
6	1	35	3	3	2	0	0	0	//정상											
6	2	20	2	0	0	1	0	1	//정상											
6	3	4	3	3	2	2	2	2	//정상											
6	4	2	2	0	1	1	1	0	//정상											
6	5	23	2	0	0	1	0	0	//정상											
6	6	24	2	0	0	0	0	1	//정상											
6	7	35	3	2	2	2	2	2	//정상											
6	8	13	2	0	1	1	1	0	//정상											
7	0	17	2	0	1	1	0	0	//정상											
7	1	16	4	0	0	1	0	0	//정상											
7	2	3	2	0	1	1	0	1	//정상											
7	3	3	2	0	1	1	1	1	//정상											
7	4	24	2	0	1	0	1	0	//정상											
7	5	32	3	7	2	2	0	2	//정상											
7	6	14	3	0	0	2	2	2	//정상											
7	7	21	2	0	1	1	1	1	//정상											
7	8	14	2	0	1	1	1	0	//정상											
8	0	18	2	0	1	0	0	1	//정상											
8	1	18	2	0	1	0	1	0	//정상											
8	2	29	3	0	2	0	0	2	//정상											
8	3	9	2	0	1	0	1	1	//정상											
8	4	11	2	0	0	0	1	1	//정상											
8	5	35	2	0	1	0	1	1	//정상											
8	6	3	2	0	1	0	1	0	//정상											
8	7	12	2	0	1	0	0	0	//정상											
8	8	1	3	6	2	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
21	5	9	9																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	20	2	0	0	1	0	1	//정상											
0	1	37	3	2	0	2	2	0	//정상											
0	2	19	3	3	0	2	0	2	//정상											
0	3	11	3	3	0	2	2	2	//정상											
0	4	26	2	0	0	1	1	1	//정상											
0	5	0	2	0	0	1	1	1	//정상											
0	6	33	3	6	0	0	2	0	//정상											
0	7	2	4	0	0	1	0	0	//정상											
0	8	37	3	5	0	2	0	0	//정상											
1	0	31	3	3	2	2	0	2	//정상											
1	1	4	1	0	1	1	1	1	//정상											
1	2	30	3	4	2	2	2	2	//정상											
1	3	24	2	0	1	1	1	1	//정상											
1	4	21	2	0	1	1	1	1	//정상											
1	5	15	3	1	2	2	2	0	//정상											
1	6	1	3	0	0	2	0	2	//정상											
1	7	26	2	0	1	1	1	0	//정상											
1	8	16	2	0	1	1	0	0	//정상											
2	0	37	3	1	2	2	0	0	//정상											
2	1	16	2	0	1	0	0	1	//정상											
2	2	31	2	0	1	1	1	1	//정상											
2	3	34	2	0	1	1	1	1	//정상											
2	4	30	2	0	1	0	1	1	//정상											
2	5	0	3	2	2	0	2	0	//정상											
2	6	18	3	4	2	2	0	2	//정상											
2	7	6	2	0	1	0	1	1	//정상											
2	8	25	2	0	1	1	1	0	//정상											
3	0	17	2	0	1	0	0	1	//정상											
3	1	3	3	6	0	2	2	2	//정상											
3	2	6	2	0	1	1	1	1	//정상											
3	3	23	3	2	2	2	2	0	//정상											
3	4	7	2	0	0	1	0	0	//정상											
3	5	12	2	0	0	1	0	1	//정상											
3	6	17	2	0	1	1	1	0	//정상											
3	7	26	3	6	0	2	0	2	//정상											
3	8	14	2	0	1	1	1	0	//정상											
4	0	16	2	0	0	1	0	1	//정상											
4	1	24	2	0	1	0	1	1	//정상											
4	2	2	3	1	2	2	2	2	//정상											
4	3	21	3	0	2	2	2	0	//정상											
4	4	33	2	0	1	1	0	1	//정상											
4	5	20	3	5	2	0	2	2	//정상											
4	6	37	2	0	1	0	1	1	//정상											
4	7	22	3	7	2	2	2	2	//정상											
4	8	27	2	0	1	0	1	0	//정상											
5	0	36	2	0	1	1	0	1	//정상											
5	1	18	3	5	0	0	2	0	//정상											
5	2	12	2	0	1	0	0	0	//정상											
5	3	4	2	0	1	1	0	0	//정상											
5	4	22	2	0	1	1	0	0	//정상											
5	5	26	2	0	0	0	0	1	//정상											
5	6	23	3	0	0	2	2	2	//정상											
5	7	32	2	0	1	1	1	1	//정상											
5	8	5	3	6	0	2	2	0	//정상											
6	0	4	2	0	1	1	0	1	//정상											
6	1	5	2	0	0	1	1	1	//정상											
6	2	4	3	3	0	2	2	2	//정상											
6	3	24	2	0	1	1	1	0	//정상											
6	4	31	2	0	1	1	0	1	//정상											
6	5	24	2	0	0	0	1	0	//정상											
6	6	33	2	0	1	1	0	1	//정상											
6	7	9	3	4	2	2	2	2	//정상											
6	8	5	3	5	2	2	2	0	//정상											
7	0	4	2	0	1	1	0	1	//정상											
7	1	36	2	0	1	1	1	1	//정상											
7	2	4	3	2	2	2	2	0	//정상											
7	3	25	2	0	1	0	0	1	//정상											
7	4	1	2	0	1	0	1	0	//정상											
7	5	0	2	0	0	1	0	1	//정상											
7	6	31	3	7	2	2	2	2	//정상											
7	7	36	3	7	2	2	2	2	//정상											
7	8	8	2	0	1	1	1	0	//정상											
8	0	9	2	0	1	0	0	1	//정상											
8	1	4	2	0	1	0	1	1	//정상											
8	2	33	2	0	1	0	1	1	//정상											
8	3	14	2	0	0	0	1	1	//정상											
8	4	14	2	0	0	0	1	1	//정상											
8	5	28	3	5	2	0	2	2	//정상											
8	6	7	2	0	1	0	1	1	//정상											
8	7	35	2	0	1	0	1	1	//정상											
8	8	19	3	5	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
22	6	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	23	3	6	0	0	0	2	//정상											
0	1	33	3	6	0	2	2	2	//정상											
0	2	37	2	0	0	0	1	1	//정상											
0	3	35	2	0	0	1	1	1	//정상											
0	4	28	2	0	0	1	1	0	//정상											
0	5	27	3	1	0	2	0	2	//정상											
0	6	6	3	3	0	2	2	0	//정상											
0	7	6	3	7	0	2	0	0	//정상											
0	8	30	2	0	0	1	0	1	//정상											
0	9	21	2	0	0	1	1	0	//정상											
1	0	36	2	0	0	1	0	1	//정상											
1	1	31	2	0	1	0	1	1	//정상											
1	2	27	3	1	0	0	2	2	//정상											
1	3	9	2	0	1	0	1	0	//정상											
1	4	12	2	0	1	1	0	0	//정상											
1	5	25	2	0	1	1	0	1	//정상											
1	6	37	3	1	2	2	2	2	//정상											
1	7	4	2	0	1	0	1	1	//정상											
1	8	4	2	0	1	1	1	1	//정상											
1	9	32	3	5	2	0	2	0	//정상											
2	0	7	2	0	1	1	0	0	//정상											
2	1	4	3	3	0	2	0	2	//정상											
2	2	10	3	3	0	2	2	2	//정상											
2	3	35	2	0	0	1	1	1	//정상											
2	4	27	2	0	1	0	1	0	//정상											
2	5	18	2	0	1	1	0	0	//정상											
2	6	32	3	6	2	2	0	2	//정상											
2	7	15	3	1	0	2	2	2	//정상											
2	8	7	2	0	1	1	1	1	//정상											
2	9	4	3	1	0	0	2	0	//정상											
3	0	13	2	0	1	1	0	1	//정상											
3	1	14	3	3	2	2	2	2	//정상											
3	2	13	3	3	2	2	2	2	//정상											
3	3	20	1	0	1	1	1	1	//정상											
3	4	31	3	5	0	0	2	0	//정상											
3	5	24	4	0	1	0	0	0	//정상											
3	6	25	3	5	2	0	0	2	//정상											
3	7	21	3	7	2	0	2	2	//정상											
3	8	24	2	0	1	1	1	1	//정상											
3	9	25	3	4	0	0	2	0	//정상											
4	0	18	2	0	1	1	0	1	//정상											
4	1	13	2	0	1	0	1	0	//정상											
4	2	10	2	0	1	0	0	1	//정상											
4	3	19	3	7	2	2	2	2	//정상											
4	4	0	2	0	0	0	1	1	//정상											
4	5	4	3	6	0	0	2	2	//정상											
4	6	27	2	0	0	0	1	0	//정상											
4	7	15	2	0	0	1	0	1	//정상											
4	8	12	2	0	1	1	1	0	//정상											
4	9	8	3	5	0	2	0	0	//정상											
5	0	21	2	0	1	1	0	1	//정상											
5	1	28	3	3	0	2	2	2	//정상											
5	2	22	2	0	0	1	1	0	//정상											
5	3	34	2	0	1	1	0	0	//정상											
5	4	23	2	0	0	1	0	1	//정상											
5	5	34	2	0	0	1	1	1	//정상											
5	6	9	2	0	0	1	1	0	//정상											
5	7	22	2	0	1	1	0	1	//정상											
5	8	33	3	7	2	2	2	0	//정상											
5	9	1	2	0	1	1	0	0	//정상											
6	0	23	2	0	1	1	0	0	//정상											
6	1	25	2	0	1	1	0	1	//정상											
6	2	3	2	0	1	1	1	0	//정상											
6	3	12	3	2	2	0	0	0	//정상											
6	4	31	2	0	1	1	0	1	//정상											
6	5	22	2	0	1	1	1	1	//정상											
6	6	18	2	0	1	1	1	0	//정상											
6	7	10	3	6	2	2	0	2	//정상											
6	8	8	3	6	2	0	2	0	//정상											
6	9	10	2	0	1	1	0	0	//정상											
7	0	1	3	6	2	2	0	0	//정상											
7	1	29	2	0	1	1	0	1	//정상											
7	2	17	2	0	1	1	1	0	//정상											
7	3	30	2	0	0	1	0	0	//정상											
7	4	21	2	0	1	0	0	1	//정상											
7	5	23	2	0	1	0	1	1	//정상											
7	6	23	2	0	1	1	1	0	//정상											
7	7	33	2	0	1	1	0	1	//정상											
