////////////////////////////////////////////////////////////////////////////////											
//	[ Text  Version ]	0.0.7.8									
//	[ 최종 작업자 ]	사재일									
//	[ 최종 작업일 ]	2015-08-11-04:53 PM									
//	[ 작 업 내 용 ]	대천사의무기 버프 스킬 추가									
////////////////////////////////////////////////////////////////////////////////											
//버프. 디버프에 상관없이 추가시 제일 뒤에 순차적으로 추가											
// 인벤 장착 아이템 관련 부분은 서버와 클라이언트가 다르게 적용되고 있으며											
// 클라이언트 용은 인벤장착 아이템부분 주석 처리, 서버용은 인벤장착 아이템 주석 해재 할것											
											
											
//Index	Viewport index	Item Index		Name	Type	알림	Clear type	설명			
219	124	255	255	"아머브레이커"	0	1	1	"적방어력 무시 확률 증가"	// 그로우랜서 신규 스킬		
// 그로우랜서 마스터 스킬 버프(2014-07-31 김의건)											
220	122	255	255	"옵시디언 강화"	0	1	1	"스킬 공격력 %d 상승"	// 그로우랜서 신규 스킬		
221	121	255	255	"서클실드 강화"	0	1	1	"피격 시 일정 확률로 AG 감소 효과가 %d 만큼 증가합니다."	// 그로우랜서 신규 스킬		
222	121	255	255	"서클실드 마스터리"	0	1	1	"피격 시 일정 확률로 AG 감소 효과가 %d 만큼 증가합니다."	// 그로우랜서 신규 스킬		
223	123	255	255	"격노 강화"	0	1	1	"방어력 30% 하락, 공격력 50% 상승"	// 그로우랜서 신규 스킬		
224	123	255	255	"격노 숙련"	0	1	1	"방어력 30% 하락, 공격력 50% 상승"	// 그로우랜서 신규 스킬		
225	123	255	255	"격노 마스터리"	0	1	1	"공격력 50% 상승"	// 그로우랜서 신규 스킬		
226	226	255	255	"아머브레이커 강화"	0	1	1	"적방어력 무시 확률 증가"	// 그로우랜서 신규 스킬		
227	125	255	255	"각성 성공 이펙트"	0	0	1	"에보몬 각성 성공 이펙트입니다."	// 에보몬 각성 성공 이펙트		
228	126	255	255	"각성 실패 이펙트"	0	0	1	"에보몬 각성 실패 이펙트입니다."	// 에보몬 각성 실패 이펙트		
// 신규맵 나르스 보스몬스터 코어마그리피 버프 (2014-10-06 박혜진)											
229	227	255	255	"광폭화"	0	1	1	"공격력이 상승됩니다."	// 코어마그리피 버프		
230	228	255	255	"분신"	0	1	1	"분신을 소환 합니다."	// 코어마그리피 스킬		
231	229	255	255	"회전 디버프"	1	1	1	"대상을 회전 시킵니다."	// 코어마그리피 스킬 디버프		
// 다크스피릿의발톱 인벤장착(2016-08-23 사재일) // 사용하지 않는 버프 인덱스 사용 (불속성 방어 상성 저항제)											
232	230	13	5	"다크스피릿의발톱"	0	0	1	"다크스피릿을 소환합니다."	//다크스피릿 인벤장착		
//233	231	14	322	"물속성 방어 상성 저항제"	0	0	1	"물속성 저항 상승 +100"	//물속성 방어 상성 저항제		
//234	232	14	323	"땅속성 방어 상성 저항제"	0	0	1	"땅속성 저항 상승 +100"	//땅속성 방어 상성 저항제		
//235	233	14	324	"바람속성 방어 상성 저항제"	0	0	1	"바람속성 저항 상승 +100"	//바람속성 방어 상성 저항제		
//236	234	14	325	"암흑속성 방어 상성 저항제"	0	0	1	"암흑속성 저항 상승 +100"	//암흑속성 방어 상성 저항제		
//PC방 전용 아이템 추가(2015-03-30 최유진)											
237	115	13	476	"[PC방]상승의 부적I"	0	0	1	"PC방 전용 아이템으로 기본 경험치의 50%를 추가로 획득 합니다."	// 인벤 장착 아이템 경험치 상승 버프 I(PC방)		
// 에르텔 옵션 버프 및 디버프 추가 (2015-03-26 홍승욱)											
238	235	255	255	"보루"	0	1	1	"속성 피해를 90%감소 시킵니다."	// 광휘의 에르텔 2랭크 옵션		
239	236	255	255	"출혈"	1	1	1	"매 초 마다 출혈 피해를 입습니다."	// 광휘의 에르텔 3랭크 옵션		
240	237	255	255	"마비"	1	1	1	"이동 속도가 감소하고, 모든 회복 능력이 감소 합니다./(자동 회복 불가능, 물약 회복 효과 감소)"	// 광휘의 에르텔 3랭크 옵션		
241	238	255	255	"속박"	1	1	1	"대지의 힘으로 다리를 묶어 이동이 불가능 합니다."	// 광휘의 에르텔 3랭크 옵션		
242	239	255	255	"실명"	1	1	1	"앞을 볼수 없어 모든 공격 성공률이 %d% 하락 합니다."	// 광휘의 에르텔 3랭크 옵션		
243	240	255	255	"면역I"	0	1	1	"속성 피해에 대하여 면역 상태가 됩니다."	// 광휘의 에르텔 4랭크 옵션		
244	240	255	255	"면역II"	0	1	1	"모든 상태 이상 효과에 대하여 면역 상태가 됩니다."	// 광휘의 에르텔 4랭크 옵션		
245	241	255	255	"광폭화I"	0	1	1	"내면의 힘을 폭발시켜 일시적으로 속성 공격력과 속성 공격 성공률이 대폭 증가합니다."	// 광휘의 에르텔 5랭크 옵션		
//Index	Viewport index	Item Index		Name	Type	알림	Clear type	설명			
// 대천사의절대무기 스킬 버프 추가 (2015-08-11 사재일)											
246	242	255	255	"대천사의의지"	0	1	1	"대인 공격데미지와 스킬공격력이 상승합니다."	//대천사의절대무기 무기스킬(버프)		
247	243	255	255	"페리아파티경험치버프"	0	1	1	"경험치 획득량이 기본 경험치의 10% 추가 획득하며/파티원 1명 당 5%의 경험치가 추가됩니다."	//페리아 파티 경험치 버프		
248	244	255	255	"루네딜의 축복"	0	0	1	"경험치상승 1단계: 5%"	//루네딜의 축복 버프		
249	244	255	255	"루네딜의 축복"	0	0	1	"경험치상승 2단계: 10%"	//루네딜의 축복 버프		
250	244	255	255	"루네딜의 축복"	0	0	1	"경험치상승 3단계: 15%"	//루네딜의 축복 버프		
251	244	255	255	"루네딜의 축복"	0	0	1	"경험치상승 4단계: 25%"	//루네딜의 축복 버프		
252	244	255	255	"루네딜의 축복"	0	0	1	"경험치상승 5단계: 35%"	//루네딜의 축복 버프		
253	116	14	371	"빛의 축복(상급)"	0	0	1	"짧은 시간 동안 축복을 받아/기본 경험치의 200%를 추가로 획득 합니다."	// 빛의 축복 버프(상급)		
254	116	14	372	"빛의 축복(중급)"	0	0	1	"짧은 시간 동안 축복을 받아/기본 경험치의 100%를 추가로 획득 합니다."	// 빛의 축복 버프 (중급)		
255	116	14	373	"빛의 축복(하급)"	0	0	1	"짧은 시간 동안 축복을 받아/기본 경험치의 50%를 추가로 획득 합니다."	// 빛의 축복 버프 (하급)		
end											
