// 애니회수 - 0 : 무한 반복	
// 대사내용 - ""안에 대사 내용 입력, ""안에 " 금지, ; 는 줄 바꿈	
//대사번호	대사내용
//튜토리얼용 대사 스크립트 추가. 2009.07.01. By kaisa2(이채선)	
233	"저에게 다시 말을 걸어 공격력, 방어력 향상 버프를 받아 주세요."
234	"퀘스트 창을 닫은 뒤 저를 다시 클릭해서 '공격력, 방어력 향상 버프를 받는다'를 선택하십시오."
235	"프를 받으면 게임 좌측 상단에 아이콘이 표시되고, 케릭터 주위에 푸른 빛의 이펙트가 생기며, 캐릭터의 공격력과 방어력이 1시간 동안 향상됩니다."
236	"노리아 밖으로 나가 '풍뎅이 괴물'을 30마리만 사냥해 보세요."
237	"로랜시아 밖으로 나가 '하운드'를 30마리만 사냥해 보세요."
238	"엘베란드 밖으로 나가 '오염된 나비'를 30마리만 사냥해 보세요."
239	"몬스터는 마우스 좌클릭으로 일반 공격을 하거나 마우스 우클릭으로 스킬 공격을 할 수 있습니다."
240	"몬스터는 마우스 좌클릭으로 일반 공격을 하거나 마우스 우클릭으로 스킬 공격을 할 수 있습니다."
241	"몬스터는 마우스 좌클릭으로 일반 공격을 하거나 마우스 우클릭으로 스킬 공격을 할 수 있습니다."
242	"방어력을 중시하는 민첩성 중시 요정이라면 무기를 착용해, 마력을 중시하는 에너지 요정이라면 구슬을 구입해 스킬을 익힐 수 있습니다."
243	"좀 더 쉬운 스킬 설명을 위해 민첩성 요정이 사용 가능한 무기를 하나 드리겠습니다."
244	"좀 더 쉬운 스킬 설명을 위해 에너지 요정이 사용 가능한 구슬을 하나 드리겠습니다."
245	"석궁 아이템을 장착해 보세요."
246	"고블린 소환 스킬을 배워 보세요."
247	"스킬이 적용되어 있는 무기의 경우 무기를 장착하면 스킬 창에 등록해 사용 할 수 있습니다."
248	"구슬을 통해 스킬을 배우면 배운 스킬을 스킬 창에 등록해 사용 할 수 있습니다."
249	"사용 가능한 스킬 중에 '다발' 이라는 스킬이 새롭게 생성된 걸 확인할 수 있을 겁니다. 해당 아이콘을 클릭해 보세요."
250	"사용 가능한 스킬 중에 '고블린 소환' 이라는 스킬이 새롭게 생성된 걸 확인할 수 있을 겁니다. 해당 아이콘을 클릭해 보세요."
251	"요정이라면 노리아의 라라요정(173,124)에게 구슬을 구입하거나, 노리아의 장로 가루스(195,123)에게 무기를 구입해 스킬을 익힐 수 있습니다."
252	"좀 더 쉬운 스킬 설명을 흑기사가 사용 가능한 무기를 하나 드리겠습니다."
253	"양날 도끼 아이템을 장착해 보세요."
254	"스킬이 적용되어 있는 무기의 경우 무기를 장착하면 스킬 창에 등록해 사용 할 수 있습니다."
255	"사용 가능한 스킬 중에 '내려찍기' 라는 스킬이 새롭게 생성된 걸 확인할 수 있을 겁니다. 해당 아이콘을 클릭해 보세요."
256	"흑기사라면 로랜시아의 마법사 파시(119,112)에게 법서를 구입해 스킬을 익힐 수 있습니다. 법서를 구입한 뒤, 마우스 우클릭으로 스킬을 익히세요."
257	"좀 더 쉬운 스킬 설명을 흑마법사가 사용 가능한 법서를 하나 드리겠습니다."
258	"파이어볼 스킬을 배워 보세요."
259	"법서를 구입해 스킬을 배우면 배운 스킬을 스킬 창에 등록해 사용 할 수 있습니다."
260	"사용 가능한 스킬 중에 '파이어볼' 이라는 스킬이 새롭게 생성된 걸 확인할 수 있을 겁니다. 해당 아이콘을 클릭해 보세요."
261	"법서는 로랜시아의 마법사 파시(119,112)나, 엘베란드의 마르세(36,218)에게 구입 할 수 있습니다."
262	"법서는 로랜시아의 마법사 파시(119,112)나, 엘베란드의 마르세(36,218)에게 구입 할 수 있습니다."
263	"레벨을 일정수치까지 높이고 오시면 '유니리아'를 선물로 드리겠습니다."
264	"유니리아는 전투 필드에서 탈 수 있는 '탈것'입니다. 장비창 좌측 상단에 착용하면 빠른 속도로 전투 필드를 이동할 수 있습니다."
265	"레벨 25를 달성한 뒤, 저에게 다시 찾아와 주세요. 축하의 뜻으로 '유니리아'를 선물로 드리겠습니다."
266	"뮤 제국을 여행 할 수 있는지 기본 지식을 테스트 해 보고, 테스트를 모두 통과하면 여왕님의 선물을 드리겠습니다."
267	"뮤 제국을 여행 할 수 있는지 기본 지식을 테스트 해 보고, 테스트를 모두 통과하면 여왕님의 선물을 드리겠습니다."
268	"뮤 제국을 여행 할 수 있는지 기본 지식을 테스트 해 보고, 테스트를 모두 통과하면 여왕님의 선물을 드리겠습니다."
269	"앞에 있는 캐릭터와 거래를 하고 싶다면 어떻게 해야 할까요?"
270	"D버튼을 이용해 거래, 파티, 구매, 따라가기 등의 여러 가지 기능을 이용할 수 있습니다. 많은 활용 부탁 드립니다."
271	"D버튼을 이용해 거래, 파티, 구매, 따라가기 등의 여러 가지 기능을 이용할 수 있습니다. 많은 활용 부탁 드립니다."
272	"좀 더 쉬운 스킬 설명을 소환술사가 사용 가능한 법서를 하나 드리겠습니다."
273	"파티 요청을 받고 싶지 않으면 어떻게 해야 하나요?"
274	"사냥 중 파티 요청을 받고 싶지 않으면 대화창에 '파티 off' 를 입력하시면 됩니다. 다시 파티 요청을 받고 싶다면 대화창에 '요청 on 을 입력하면 됩니다."
275	"사냥 중 파티 요청을 받고 싶지 않으면 대화창에 '파티 off' 를 입력하시면 됩니다. 다시 파티 요청을 받고 싶다면 대화창에 '요청 on 을 입력하면 됩니다."
276	"대화창에서 귓속말을 하고 싶다면 어떤 버튼을 이용해야 될까요?"
277	"아이디를 알고 있는 친구나 다른 사람과 개인적인 대화를 하고 싶다면 대화창에서 tab 키를 이용해 귓속말을 진행할 수 있습니다."
278	"아이디를 알고 있는 친구나 다른 사람과 개인적인 대화를 하고 싶다면 대화창에서 tab 키를 이용해 귓속말을 진행할 수 있습니다."
279	"장비 수리는 일정 레벨이 되면 인벤토리에서 직접 수리할 수 있는데요, 그 레벨은 몇일까요?"
280	"장비는 로랜시아의 대장장이 한스(117,140), 엘베란드의 레아(30, 235), 노리아의 장로 가루스(194, 123)에게 수리할 수 있으니 자주 찾아가 보시기 바랍니다."
281	"장비는 로랜시아의 대장장이 한스(117,140), 엘베란드의 레아(30, 235), 노리아의 장로 가루스(194, 123)에게 수리할 수 있으니 자주 찾아가 보시기 바랍니다."
282	"M버튼을 누르면 먼 곳까지 쉽게 이동이 가능합니다. 던전을 가기 위한 최소 레벨과 Zen 요구 량은 얼마 인가요?"
283	"뮤 월드는 레벨이 적정하고 Zen만 충분하다면 M을 통해 쉽게 이동할 수 있습니다. 레벨이 적정한 곳을 찾아 사냥을 즐기는 것도 재미있을 겁니다."
284	"뮤 월드는 레벨이 적정하고 Zen만 충분하다면 M을 통해 쉽게 이동할 수 있습니다. 레벨이 적정한 곳을 찾아 사냥을 즐기는 것도 재미있을 겁니다."
285	"조합은 누구를 통해 할 수 있을까요?"
286	"각 마을에 있는 npc들의 도움을 받으면 아이템 조합 뿐만 아니라 갑옷에 보석을 박아 기능을 향상시키는 등의 다양한 기능이 많으니 꼭 한번씩 찾아가 보세요."
287	"각 마을에 있는 npc들의 도움을 받으면 아이템 조합 뿐만 아니라 갑옷에 보석을 박아 기능을 향상시키는 등의 다양한 기능이 많으니 꼭 한번씩 찾아가 보세요."
288	"튜토리얼을 완료하셨습니다. 축하의 뜻으로 용사와 전사의 반지를 드리지요. 여왕님께서 전사님께 주시는 선물입니다."
289	"튜토리얼을 완료하셨습니다. 축하의 뜻으로 용사와 전사의 반지를 드리지요. 여왕님께서 전사님께 주시는 선물입니다."
290	"튜토리얼을 완료하셨습니다. 축하의 뜻으로 용사와 전사의 반지를 드리지요. 여왕님께서 전사님께 주시는 선물입니다."
291	"튜토리얼을 완료하셨습니다. 축하의 뜻으로 용사와 전사의 반지를 드리지요. 여왕님께서 전사님께 주시는 선물입니다."
292	"튜토리얼을 완료하셨습니다. 축하의 뜻으로 용사와 전사의 반지를 드리지요. 여왕님께서 전사님께 주시는 선물입니다."
293	"튜토리얼을 완료하셨습니다. 축하의 뜻으로 용사와 전사의 반지를 드리지요. 여왕님께서 전사님께 주시는 선물입니다."
294	"각 마을에 있는 '쉐도우 팬텀 부대원' NPC를 찾아가세요."
295	"각 마을에 있는 '쉐도우 팬텀 부대원' NPC를 찾아가세요."
296	"뮤에 오신 여러분을 환영합니다.;전사로서 첫 걸음을 내디딘 분들에게 힘이 되어 드리겠습니다."
297	"공격력,방어력 향상 버프를 받는다."
298	"퀘스트를 수행한다."
//299	
//300	
//반복 퀘스트 용 내용 추가. 2009.07.08 By kaisa2(이채선)	
300	"모험을 하는데는 힘들지 않나요? 여행비를 벌만한 간단한 일이 있는데 생각이 있으시면 소개해 드리지요."
301	"간단한 일?"
302	"흥미가 있습니다. 무슨 일인가요?"
303	"지금은 좀 바쁘군요."
304	"사정이 있으시다면 어쩔 수 없군요. 혹시라도 마음이 변하시면 다시 찾아와 주세요. 즐거운 뮤 되시길 바랍니다.;(퀘스트가 취소되었습니다.)"
305	"사람들이 지나다니는데 자주 출몰하는 몬스터를 토벌하려고 하는데 전사님이 좀 도와 주실 수 있으세요?"
306	"…몬스터 토벌?"
307	"지금은 좀 바빠서요. 거절하겠습니다."
308	"전사라면 당연하죠!"
309	"노리아 주변에 돌 괴물이 출현하여 여행객들을 괴롭히고 있다고 합니다.;우선 '돌괴물'을 '20마리'만 잡아 보시겠어요?;전사님 실력이라면 그 정도는 어렵지 않을 겁니다."
310	"돌괴물 20마리라…."
311	"알겠습니다."
312	"별로 내키지 않는군요. 다음에 올게요."
313	"돌괴물'은 몸 전체가 암석으로 이루어져 몸을 웅크리고 있으면 마치 커다란 바위 같답니다.;그들의 위장술에 속지 않게 조심하여 '돌괴물'을 '20마리'를 잡은 뒤, 저에게 다시 돌아오세요."
314	"돌괴물이 여전히 노리아의 여행객들을 괴롭히고 있다고 합니다.;돌괴물은 지속적으로 처치해야 될 듯 한데… 어떻습니까? 경험이 있으니 전사님께는 어렵지 않을 것 같은데요."
315	"…돌괴물이라고?"
316	"좋아요! 그 정도 쯤이야!"
317	"돌괴물은 너무 시시한데…. 좀더 생각해 보겠습니다."
318	"돌괴물을 '20마리'만 처치해서 돌아와 주세요.; 돌괴물이 끊임없이 나타나서 처치가 곤란하네요."
319	"어머! 당신은….;돌괴물을 잡아 오신 용사님 맞지요? 실력이 뛰어 나신 듯 한데 노리아에서 벗어나 좀 더 강한 몬스터를 사냥해 보는 건 어떠신가요?"
320	"좀 더 강한 몬스터라…."
321	"흥미로운대요. 어떤 몬스터죠?"
322	"지금은 바쁘군요. 다음에 도와 드리겠습니다."
323	"눈 위에서 태어나 눈 위에서 죽음을 맞이하는 것에 자부심을 가지고 있는 용맹한 전사들이 있습니다. 바로 데비아스의 '호머드' 입니다."
324	"…호머드?"
325	"좀 더 자세히 설명해 주세요."
326	"라르칸 도끼와 방패를 차고 있는 '호머드'는 추위에 잘 견딜 수 있는 신체를 지니고 있으므로 데비아스의 추위도 그들을 둔하게 만들지는 못합니다. 어떠세요. 그들과 한번 겨뤄 보고 싶지 않으신가요?"
327	"…꽤나 흥미로운 존재군."
328	"좋습니다. 제가 그들을 처리하죠."
329	"좀 더 실력을 쌓고 나중에 도전하겠습니다."
330	"좋습니다. 역시 전사님이시군요. 데비아스에서 '호머드'를 '30마리'만 사냥하고 오세요. 저는 이곳에서 기다리고 있겠습니다."
331	"호머드가 여전히 데비아스를 공포에 떨게 만들고 있습니다.;호머드를 지속적으로 처치해야 될 듯 한데… 어떻습니까? 경험이 있으니 전사님께는 어렵지 않을 것 같은데요."
332	"…호머드라고?"
333	"좋아요! 그 정도 쯤이야!"
334	"호머드는 너무 시시한데…. 좀더 생각해 보겠습니다."
335	"호머드를 '30마리'만 처치해서 돌아와 주세요.;호머드가 끊임없이 나타나서 처치가 곤란하네요."
336	"오시기를 기다리고 있었습니다. 엘베란드에 몬스터가 출몰하여 주민들과 여행객들이 공포에 떨고 있다고 합니다. 믿을 분이라곤 전사님 밖에 없군요."
337	"…엘베란드? 몬스터?"
338	"몬스터라니… 자세히 설명해 주세요."
339	"엘베란드 만은 쿤둔의 부하들도 어쩌지 못할 거라고 생각했는데… 이제 이 세상에는 안전한 곳이라곤 없나 봅니다.;'리치'가 쿤둔의 저주를 받아 점점 더 강해지고 있다고 하는 군요."
340	"…리치?"
341	"제가 해치워 버리겠습니다."
342	"지금은 조금 바빠서요. 나중에 다시 오겠습니다."
343	"엘베란드의 '저주받은 리치'를 '50마리'만 처치하고 돌아와 주십시오.;이제 믿을 사람은 전사님 밖에 없습니다."
344	"저주받은 리치가 여전히 엘베란드의 주민들을 공포에 떨게 만들고 있습니다.;저주받은 리치를 지속적으로 처치해야 될 듯 한데… 어떻습니까? 경험이 있으니 전사님께는 어렵지 않을 것 같은데요."
345	"…저주받은 리치라고?"
346	"좋아요! 그 정도 쯤이야!"
347	"저주받은 리치는 너무 시시한데…. 좀더 생각해 보겠습니다."
348	"저주받은 리치를 '50마리'만 처치해서 돌아와 주세요.;저주받은 리치가 끊임없이 나타나서 처치가 곤란하네요."
349	"당신은 분명! 던전에서 상처 하나 입지 않고 용맹히 돌아온 전사님이 맞으시지요?!;좋지 않은 소식이 있어서 걱정했습니다만 전사님이 돌아오셨으니 이제 걱정하지 않아도 되겠군요."
350	"좋지 않은 소식이요?"
351	"무슨 소식입니까?"
352	"사나운 '헬 하운드'가 선량한 백성들을 살육하고 있다고 합니다.;부디 가련한 그들을 위해 '헬 하운드'를 처치해 주시지 않겠습니까?"
353	"헬 하운드라면…."
354	"좋습니다! 제가 처치하고 오겠습니다."
355	"별로 내키지 않는군요."
356	"헬 하운드는 느릿느릿한 행동 패턴 때문에 방심하기 쉽지만, 강한 공격력과 방어력을 지니고 있으니 조심하시기 바랍니다.;'헬 하운드'를 '50마리'만 사냥한 뒤 저에게 돌아와 주십시오."
357	"헬 하운드가 여전히 행패를 부리고 있다고 하는 군요.;헬 하운드를 지속적으로 처치해야 될 듯 한데… 어떻습니까? 경험이 있으니 전사님께는 어렵지 않을 것 같은데요."
358	"…헬 하운드라고?"
359	"좋아요! 그 정도 쯤이야!"
360	"헬 하운드는 너무 시시한데…. 좀더 생각해 보겠습니다."
361	"헬 하운드를 '50마리'만 처치해서 돌아와 주세요.;헬 하운드가 끊임없이 나타나서 처치가 곤란하네요."
362	"쉐도우라는 몬스터를 아십니까?"
363	"…쉐도우?"
364	"좀 더 자세히 설명해 주세요."
365	"쉐도우는 로스트 타워의 심연 속에서 생겨난 사념체 입니다.; 숨쉬고 있는 모든 것들에 대한 본능적인 증오와 집착 때문에 매우 공격적이랍니다.매우 위험한 존재지요."
366	"…저런…."
367	"제가 어떻게 하면 되나요?"
368	"그들은 싸움을 통한 죽음 외에는 숨을 놓을 수 없습니다. 어떠습니까. 전사님이 그들이 숨을 놓을 수 있도록 도와 주시겠습니까?"
369	"…흠. 만만히 볼 상대는 아닌 듯 한데…."
370	"좋습니다. 제가 그들을 처리하죠."
371	"그렇게 하고 싶지만… 아직은 제 실력이 부족한 듯 하네요. 거절하겠습니다."
372	"로스트 타워에 있는 '쉐도우'을 '50마리'만 처치해 주세요.;전사님의 무사 귀환을 기다리고 있겠습니다."
373	"쉐도우가 여전히 로스트 타워의 전사들을 위협하고 있다고 합니다.;쉐도우를 지속적으로 처치해야 될 듯 한데… 어떻습니까? 경험이 있으니 전사님께는 어렵지 않을 것 같은데요."
374	"…쉐도우라고?"
375	"좋아요! 그 정도 쯤이야!"
376	"쉐도우는 너무 시시한데…. 좀더 생각해 보겠습니다."
377	"쉐도우를 '50마리'만 처치해서 돌아와 주세요.;쉐도우가 끊임없이 나타나서 처치가 곤란하네요."
378	"쿤둔에 의해 나쁜 영향을 받고 있는 지역은 한 두 군대가 아닙니다.;'로스트타워'는 이미 쿤둔에 의해 이미 타락해 버린지 오랩니다."
379	"…로스트타워?"
380	"흥미로운대요. 좀 더 설명해 주세요."
381	"로스트타워에 있는 몬스터들은 쿤둔의 명령에 의해 로스트타워를 지키고 있는 쿤둔의 부하들 입니다.;특히 '데빌'은 거대한 날개를 펄럭이며 날아다니는 마계의 수문장이지요."
382	"데빌이라고?"
383	"좀 더 설명해 주세요."
384	"데빌은 로스트 타워의 상층부를 지키라는 쿤둔의 명을 수행하고 있지요.;빠른 이동 속도와 더블어, 강력한 마법적 능력을 가진 탓에 상대하기가 매우 까다롭답니다.; 어떻습니까? 전사님께서 이들을 처치해 주셨으면 좋겠는데요."
385	"…꽤 강한 녀석인가 본데?"
386	"까짓것! 제가 해치워 드리죠!"
387	"별로 내키지 않는군요. 다음에 올게요."
388	"로스트 타워에 있는 '데빌'을 '50마리'만 처치해 주세요.;한번 로스트 타워에 들어가면 물건을 구할 곳이 쉽지 않으니 든든히 준비해 가시기 바랍니다."
389	"데빌이 여전히 로스트 타워의 전사들을 위협하고 있다고 합니다.;데빌을 지속적으로 처치해야 될 듯 한데… 어떻습니까? 경험이 있으니 전사님께는 어렵지 않을 것 같은데요."
390	"…데빌이라고?"
391	"좋아요! 그 정도 쯤이야!"
392	"데빌은 너무 시시한데…. 좀더 생각해 보겠습니다."
393	"데빌을 '50마리'만 처치해서 돌아와 주세요.;데빌이 끊임없이 나타나서 처치가 곤란하네요."
394	"돌괴물을 잡아라!"
395	"호머드를 사냥하라!"
396	"저주받은 리치를 쓰러뜨려라!"
397	"헬 하운드 처치!"
398	"쉐도우 처단!"
399	"데빌과의 한판승!"
400	"모험의 재미는 사냥이죠. 혹 시간이 나시면 후에라도 '쉐도우 팬텀 부대원'을 찾아가 보세요."
401	"모험 경비가 필요하신가요? '쉐도우 팬텀 부대원'을 찾아가 보세요."
402	"몬스터 사냥을 수락하시다니 역시 멋진 모험가시군요!"
403	"돌괴물을 20마리만 잡아 '쉐도우 팬텀 부대원'에게 돌아오세요."
404	"역시 흘륭한 전사님! 좀더 돌괴물 사냥을 즐겨볼 생각은 없으신가요?"
405	"모험의 재미는 사냥이죠. 마음이 바뀌면 다시 뵙도록 하죠."
406	"몬스터 사냥을 수락하시다니 역시 멋진 모험가 이시군요.;돌괴물을 20마리만 잡아 능력을 뽐내 보세요."
407	"데비아스의 호머드를 사냥해 보지 않으시겠습니까?"
408	"호머드를 30마리만 잡아 '쉐도우 팬텀 부대원'에게 돌아오세요."
409	"역시 흘륭한 전사님! 좀더 호머드 사냥을 즐겨볼 생각은 없으신가요?"
410	"몬스터 사냥을 수락하시다니 역시 멋진 모험가 이시군요.;호머드를 30마리만 잡아 능력을 뽐내 보세요."
411	"리치를 사냥해 보지 않으시겠습니까?"
412	"리치를 50마리만 잡아 '쉐도우 팬텀 부대원'에게 돌아오세요."
413	"역시 흘륭한 전사님! 좀더 리치 사냥을 즐겨볼 생각은 없으신가요?"
414	"몬스터 사냥을 수락하시다니 역시 멋진 모험가 이시군요.;리치를 50마리만 잡아 능력을 뽐내 보세요."
415	"헬 하운드를 사냥해 보지 않으시겠습니까?"
416	"헬 하운드를 50마리만 잡아 '쉐도우 팬텀 부대원'에게 돌아오세요."
417	"역시 흘륭한 전사님! 좀더 헬 하운드 사냥을 즐겨볼 생각은 없으신가요?"
418	"몬스터 사냥을 수락하시다니 역시 멋진 모험가 이시군요.;헬하운드를 50마리만 잡아 능력을 뽐내 보세요."
419	"쉐도우를 사냥해 보지 않으시겠습니까?"
420	"쉐도우를 50마리만 잡아 '쉐도우 팬텀 부대원'에게 돌아오세요."
421	"역시 흘륭한 전사님! 좀더 쉐도우 사냥을 즐겨볼 생각은 없으신가요?"
422	"몬스터 사냥을 수락하시다니 역시 멋진 모험가 이시군요.;쉐도우를 50마리만 잡아 능력을 뽐내 보세요."
423	"데빌을 사냥해 보지 않으시겠습니까?"
424	"데빌을 50마리만 잡아 '쉐도우 팬텀 부대원'에게 돌아오세요."
425	"역시 흘륭한 전사님! 좀더 데빌 사냥을 즐겨볼 생각은 없으신가요?"
426	"몬스터 사냥을 수락하시다니 역시 멋진 모험가 이시군요.;데빌을 50마리만 잡아 능력을 뽐내 보세요."
//2009.08.10 220-230 반복 퀘스트 추가	
427	"데쓰나이트는 커다란 번개검을 휘두르며 로스트타워 상층부에 도전하는 전사들을 무자비하게 죽이고 있습니다.; 어떻습니까? 전사님께서 이들을 처치해 주셨으면 좋겠는데요."
428	"…꽤 강한 녀석인가 본데?"
429	"까짓것! 제가 해치워 드리죠!"
430	"글쎄요..좀 어려울것 같네요. 다음에 올게요."
431	"로스트 타워에 있는 '데쓰나이트'를 '50마리'만 처치해 주세요.;한번 로스트 타워에 들어가면 물건을 구할 곳이 쉽지 않으니 든든히 준비해 가시기 바랍니다."
432	"데쓰나이트가 여전히 로스트 타워의 전사들을 위협하고 있다고 합니다.;어떻습니까? 경험이 있으니 전사님께는 어렵지 않을 것 같은데요."
433	"녀석들..아직도..설치고 다니는건가?"
434	"가능하죠..충분합니다!"
435	"글쎄요..다른 일이 바빠서..좀더 생각해 보겠습니다."
436	"데쓰나이트를 '50마리'만 처치해서 돌아와 주세요.;녀석들이 끊임없이 나타나서 처치가 곤란하네요."
437	"데쓰나이트 사냥!"
438	"데쓰나이트를 50마리 잡아 '쉐도우 팬텀 부대원'에게 돌아오세요."
439	"역시 흘륭한 전사님! 좀더 데쓰나이트 사냥을 즐겨볼 생각은 없으신가요?"
440	"몬스터 사냥을 수락하시다니 역시 멋진 모험가 이시군요.;데쓰나이트를 50마리만 잡아 능력을 뽐내 보세요."
//2009.08.10 225-235 반복 퀘스트 추가	
441	"쿤둔의 배신자 히드라가 지배하는 아틀란스란 곳에 대형바하무트라는 기이한 생명체가 살고 있습니다.; 그들도 역시 뮤대륙을 위협하는 녀석들중 하나인데..부탁드려도 될까요?"
442	"그런 녀석도 있었나?"
443	"수락"
444	"거절"
445	"아틀란스..그곳은 아름다웠지만.. 히드라의 수하들로 인해서 황폐해 졌지요.; 전사님이시라면 충분할것으로 생각되네요.."
446	"아직도 모자란듯…그녀석들을 좀더 처치해 주시지 않겠습니까?"
447	"그렇단 말이지…"
448	"대형바하무트를 50마리만 처치해서 돌아와 주세요."
449	"대형바하무트 사냥!"
450	"대형바하무트를 50마리 사냥하고 '쉐도우 팬텀 부대원'에게 돌아오세요"
451	"대단하시군요! 아틀란스에서의 사냥을 좀더 즐겨볼 생각은 없으신가요?"
452	"감사합니다. 멋지고 용맹하신 분이란걸 잊지 않겠습니다."
//2009.08.10 230-240 반복 퀘스트 추가	
453	"실버발키리와 리자드킹은 히드라 다음으로 아틀란스에서 막강한 몬스터입니다.;그녀석들이라도 처치한다면 아틀란스가 조금이라도 더 아름다워 질텐데요.."
454	"이번엔 좀더 막강한 놈들인가..?"
455	"아틀란스의 아름다움을 되찾기위해선 전사님의 용기가 필요합니다."
456	"다시한번 전사님의 용기로 그들을 잠재워 주시지 않겠습니까?"
457	"음…그렇단 말이지…"
458	"실버발키리와 리자드킹을 각 50마리씩 처치하고 돌아와 주세요."
459	"아틀란스 토벌!"
460	"실버발키리와 리자드킹을 각 50마리씩 처치하고 '쉐도우 팬텀 부대원'에게 돌아오세요."
461	"역시 전사님은 대단하시군요! 조금더 도움을 주시지 않겠습니까?"
462	"전사님의 은혜는 평생 잊지 않겠습니다."
//2009.08.10 237-240 반복 퀘스트 추가	
463	"이제 남은건 아틀란스 심해 깊은곳에서 몸을 숨기고 있는 히드라 입니다.;히드라는 아틀란스를 지키고 있는 보스인데..괜찮으시겠어요?"
464	"아틀란스의 보스라고...?"
465	"전사님 덕분에 아틀란스도 많이 좋아지고 있답니다..."
466	"이제 아틀란스에서의 전투도 끝을 봐야겠지요."
467	"이제 끝이 보이는건가..."
468	"히드라를 2마리 처치하고 돌아와 주세요."
469	"아틀란스의 빛"
470	"히드라를 2마리 처치하고 '쉐도우 팬텀 부대원'에게 돌아오세요."
471	"역시 전사님은 대단하시군요! 이제 얼마 남지 않았습니다!"
472	"전사님 덕분에 다시 아틀란스에 서광이 비추게 되었답니다."
//2009.08.10 240-250 반복 퀘스트 추가	
473	"타르칸이라는 사막을 아시나요?;마법과 과학의 실험에 의해 버려진 생명체들의 서식지,;정상적인 생명체가 살지 않는 황량한 사막을…"
474	"타르칸?"
475	"가본적이 있는것 같은데.."
476	"그곳에는 뮤턴트라는 기이한 생명체가 살고 있답니다."
477	"뮤턴트?"
478	"돌연변이라는건가?"
479	"네..기괴한 용모와 특별한 능력 때문에 칸투르인들에게 배척받아 타르칸 사막에 버려졌답니다.;그녀석들을 전사님께서 잠재워 주셨으면 합니다."
480	"어떻게 보면 불쌍한 녀석들이군.."
481	"타르칸의 뮤턴트들을 50마리만 잠재워 주세요… 부탁드립니다."
482	"돌연변이 뮤턴트들을 좀더 잡아 주시지 않겠습니까?"
483	"타르칸..무척 덥던데.."
484	"뮤턴트 50마리만 처치해주세요…;생각보다 많은 뮤턴트들이 버려졌네요.."
485	"다시 생각나시면 언제든지 돌아와 주세요"
486	"잠들지 않는 사막"
487	"뮤턴트들을 처치해 주시지 않겠습니까?"
488	"뮤턴트 50마리만 처치하고 '쉐도우 팬텀 부대원'에게 돌아오세요"
489	"전사님은 대단하시네요..좀더 처치해 주시지 않겠나요?"
490	"어서 뮤턴트 50마리를 잠재워 주시고 돌아와주세요"
//2009.08.10 245-255 반복 퀘스트 추가	
491	"마법 왕국 아르카와 요정의 왕국인 노리아 사이의 전쟁 시에 사용되었던 대단위 마법의 영향으로 차원의 틈새가 생겨난 곳을 아시나요?"
492	"틈새라고?"
493	"자세히 이야기해주시겠어요?"
494	"그 틈새를 통해서 아이다라는 곳으로 갈수 있답니다.;하지만 그곳도 기괴한 동식물들과 몬스터로 넘쳐나지요.."
495	"아이다? 기괴한 동식물?"
496	"어떤놈들인길래..?"
497	"그중 가장 많은 개채수를 가지고 있는 데스트리라는 몬스터를 처치해 주세요..;오랜기간동안 인간의 발길이 닿지 않은지라…매우 위험합니다."
498	"데스트리라…글쎄…"
499	"아이다의 데스트리를 50마리만 처치해 주시지 않겠나요?"
500	"아직 좀더 할 일이 남아 있는 듯 한데…전사님의 힘을 빌려주세요…"
501	"멋진 숲이긴 한데…"
502	"데스트리 50마리 처치 부탁드려요…"
503	"전사님의 힘이 필요합니다…언제든지 다시 들러주세요."
504	"차원의 틈새"
505	"데스트리를 처치해 주시지 않겠습니까?"
506	"데스트리 50마리만 처치하고 '쉐도우 팬텀 부대원'에게 돌아오세요"
507	"전사님 정도라면 충분히 도움이 될겁니다. 부탁드려요"
508	"어서 데스트리 50마리를 처치하고 돌아와주세요"
//2009.08.10 248-260 반복 퀘스트 추가	
509	"큰일이에요!전사님!"
510	"무슨일인가요?"
511	"천천히 이야기해보세요."
512	"얼마전 다녀오셨던 죽음의 사막 '타르칸'이라는 곳에서 흉측한 괴물의 수가 급격히 늘었다는 소식입니다!"
513	"흉측한 괴물이요?"
514	"대체 어떤 놈들이길래…"
515	"블러디울프 같은 그런 흉측한 녀석들이 계속 늘어난다면…;뮤대륙을 위협하게 될지도 모른다구요!"
516	"아…그때 보았던 그녀석들인가…"
517	"우선 타르칸으로 가셔서 블러디울프 100마리만 처치해주세요…부탁드려요.."
518	"아직 안전하지 않다고 합니다…좀더 힘을내 주세요!"
519	"그곳..타르칸…무척 덥던데.."
520	"블러디울프 100마리만 더 처치해주세요…간곡히 부탁드려요…"
521	"뮤대륙은 전사님의 힘을 필요로 합니다…전 항상 여기서 기다릴께요…"
522	"사막의 피"
523	"블러디울프를 처치해주세요 부탁드립니다."
524	"블러디울프 100마리를 처치하고 '쉐도우 팬텀 부대원'에게 돌아오세요"
525	"전사님을 믿어요…부탁드려요"
526	"어서 블러디울프 100마리를 처치하고 돌아와주세요"
//겐스 NPC 대화.2009.10.14 추가	
1000	"안녕하십니까. 겐스 듀프리언의 집사 그레고리(Gregory)입니다. 저희 겐스에 용무가 있으신가요?"
1001	"겐스 듀프리언에 대해 묻는다."
